branch,host,compiler,mpi,netcdf,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,artifacts_hash,modified
develop,acorn,gfortran 10.3.0,mpi 8.1.7,4.7.4 4.5.3,O,Unicos,pass,13647,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/89de6f47d144ef96bdd5417931202ba955575b53/develop/acorn/gfortran/10.3.0/O/mpi/8.1.7),2022-03-31 01:51:01 +0000
develop,acorn,gfortran 10.3.0,mpi 8.1.7,4.7.4 4.5.3,g,Unicos,pass,13647,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/6a77d7f60532d7f868123836a4b59ecec7ececd2/develop/acorn/gfortran/10.3.0/g/mpi/8.1.7),2022-03-31 01:57:11 +0000
develop,acorn,intel 19.1.3,mpi 8.1.7,4.7.4 4.5.3,O,Unicos,pass,13647,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/a56cf29d89ba2f6e56798504a978e8b147560248/develop/acorn/intel/19.1.3/O/mpi/8.1.7),2022-03-31 01:53:58 +0000
develop,acorn,intel 19.1.3,mpi 8.1.7,4.7.4 4.5.3,g,Unicos,pass,13647,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/ecaef2428ba5265946f0980baeb2fa4e3bcae915/develop/acorn/intel/19.1.3/g/mpi/8.1.7),2022-03-31 01:54:05 +0000
develop,cheyenne,gfortran 10.1.0,mpt 2.23,4.7.4 4.5.3,O,Linux,pass,13647,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/c698a6cd507f7bb42431557474baa9c186a2219b/develop/cheyenne/gfortran/10.1.0/O/mpt/2.23),2022-03-31 06:33:41 -0600
develop,cheyenne,gfortran 10.1.0,mpt 2.23,4.7.4 4.5.3,g,Linux,pass,13647,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/5a941ac5431bb56f4ad847b8cd0de4a3b50ebb0d/develop/cheyenne/gfortran/10.1.0/g/mpt/2.23),2022-03-31 06:43:32 -0600
develop,cheyenne,gfortran 10.1.0,openmpi 4.0.5,4.7.4 4.5.3,O,Linux,pass,13647,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/f0c86db9d59bf0bf1896d9664834972f4255ad12/develop/cheyenne/gfortran/10.1.0/O/openmpi/4.0.5),2022-03-31 06:39:38 -0600
develop,cheyenne,gfortran 10.1.0,openmpi 4.0.5,4.7.4 4.5.3,g,Linux,pass,13647,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/e0550cfbb41020c3b0d2c56ad208a72706604afb/develop/cheyenne/gfortran/10.1.0/g/openmpi/4.0.5),2022-03-31 06:49:51 -0600
develop,cheyenne,gfortran 7.4.0,openmpi 4.0.3,4.7.3 4.5.2,O,Linux,pass,13647,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/a5f580ef92065b702fa9b37f715a231885154b3e/develop/cheyenne/gfortran/7.4.0/O/openmpi/4.0.3),2022-03-31 06:36:10 -0600
develop,cheyenne,gfortran 7.4.0,openmpi 4.0.3,4.7.3 4.5.2,g,Linux,pass,13647,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/91b36f0567f34c0daee21e4921ced4a579678da1/develop/cheyenne/gfortran/7.4.0/g/openmpi/4.0.3),2022-03-31 06:47:24 -0600
