branch,host,compiler,mpi,netcdf,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,artifacts_hash,modified
develop,acorn,gfortran 10.3.0,mpi 8.1.7,4.7.4 4.5.3,O,Unicos,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/b559813488f3d6a856fe73aac0f4ebe8470e07dc/develop/acorn/gfortran/10.3.0/O/mpi/8.1.7),2022-06-07 01:22:40 +0000
develop,acorn,gfortran 10.3.0,mpi 8.1.7,4.7.4 4.5.3,g,Unicos,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/86cc8a8ab47a4785521c058fdb776a73c76acce9/develop/acorn/gfortran/10.3.0/g/mpi/8.1.7),2022-06-07 01:24:07 +0000
develop,acorn,intel 19.1.3,mpi 8.1.7,4.7.4 4.5.3,O,Unicos,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/9eb7eb71158683d74c158ec10469eae63d87c64a/develop/acorn/intel/19.1.3/O/mpi/8.1.7),2022-06-07 01:50:20 +0000
develop,acorn,intel 19.1.3,mpi 8.1.7,4.7.4 4.5.3,g,Unicos,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/a6e189dcfbc14d19d453330632f62d331d2035a4/develop/acorn/intel/19.1.3/g/mpi/8.1.7),2022-06-07 01:51:18 +0000
develop,cheyenne,gfortran 10.1.0,mpt 2.23,4.7.4 4.5.3,O,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/c106be38a6ce2b4d77ee31ac7135770bfa429465/develop/cheyenne/gfortran/10.1.0/O/mpt/2.23),2022-06-07 03:10:45 -0600
develop,cheyenne,gfortran 10.1.0,mpt 2.23,4.7.4 4.5.3,g,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/899ab00637e0b685235bce34bb29b74b54bb8b77/develop/cheyenne/gfortran/10.1.0/g/mpt/2.23),2022-06-07 03:28:57 -0600
develop,cheyenne,gfortran 10.1.0,openmpi 4.0.5,4.7.4 4.5.3,O,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/4cfb6e1659d485eb4e42931f9b2be3be95180ec4/develop/cheyenne/gfortran/10.1.0/O/openmpi/4.0.5),2022-06-07 03:18:16 -0600
develop,cheyenne,gfortran 10.1.0,openmpi 4.0.5,4.7.4 4.5.3,g,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/8d0020c47267d7cc301cd38eaf16e2ae71a5ecc9/develop/cheyenne/gfortran/10.1.0/g/openmpi/4.0.5),2022-06-07 03:36:48 -0600
develop,cheyenne,gfortran 7.4.0,openmpi 4.0.3,4.7.3 4.5.2,O,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/4649ef7810514f02b4d571f9361c9bdeecca0564/develop/cheyenne/gfortran/7.4.0/O/openmpi/4.0.3),2022-06-07 03:11:50 -0600
develop,cheyenne,gfortran 7.4.0,openmpi 4.0.3,4.7.3 4.5.2,g,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/3070b898c4327851ab0aa94558622f8af4d0aaf1/develop/cheyenne/gfortran/7.4.0/g/openmpi/4.0.3),2022-06-07 03:32:42 -0600
develop,cheyenne,gfortran 9.1.0,mpt 2.22,4.7.3 4.5.2,O,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/48857cd28b3d63b79492874f80c32041376d1d4e/develop/cheyenne/gfortran/9.1.0/O/mpt/2.22),2022-06-07 03:07:41 -0600
develop,cheyenne,gfortran 9.1.0,mpt 2.22,4.7.3 4.5.2,g,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/b301e433b0a747ab2655958ea1fb90d3a4ee866b/develop/cheyenne/gfortran/9.1.0/g/mpt/2.22),2022-06-07 03:28:11 -0600
develop,cheyenne,gfortran 9.1.0,openmpi 4.0.5,4.7.3 4.5.2,O,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/ca5e3ca0746c207758f322ebe5b464fb319cbbb9/develop/cheyenne/gfortran/9.1.0/O/openmpi/4.0.5),2022-06-07 03:16:16 -0600
develop,cheyenne,gfortran 9.1.0,openmpi 4.0.5,4.7.3 4.5.2,g,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/5a19e369e2698303112e7aca8b40ea632c71690a/develop/cheyenne/gfortran/9.1.0/g/openmpi/4.0.5),2022-06-07 03:34:47 -0600
develop,cheyenne,intel 18.0.5,intelmpi 2018.4.274,4.6.3 4.4.4,O,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/272a539496748dc68b25d01b9456887316623202/develop/cheyenne/intel/18.0.5/O/intelmpi/2018.4.274),2022-06-07 06:17:27 -0600
develop,cheyenne,intel 18.0.5,intelmpi 2018.4.274,4.6.3 4.4.4,g,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/e0c3b122616ddb8aeefadb1c9c274cca405e63a7/develop/cheyenne/intel/18.0.5/g/intelmpi/2018.4.274),2022-06-07 06:35:51 -0600
develop,cheyenne,intel 18.0.5,mpiuni none,4.6.3 4.4.4,O,Linux,pass,12142,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/6b981ae769a69f0fbacb6387d2b38adc398b2228/develop/cheyenne/intel/18.0.5/O/mpiuni/none),2022-06-07 05:37:19 -0600
develop,cheyenne,intel 18.0.5,mpiuni none,4.6.3 4.4.4,g,Linux,pass,12142,0,8,0,43,0,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/652be959a7690b8b75472d8c6300290be72e5a04/develop/cheyenne/intel/18.0.5/g/mpiuni/none),2022-06-07 06:05:38 -0600
develop,cheyenne,intel 18.0.5,mpt 2.19,4.6.3 4.4.4,O,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/c1fce4e01684d501397d23b5c13931e7508289ab/develop/cheyenne/intel/18.0.5/O/mpt/2.19),2022-06-07 06:41:47 -0600
develop,cheyenne,intel 18.0.5,mpt 2.19,4.6.3 4.4.4,g,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/ceddafd86eeb22476804f76fbe2943f0bc0bca6c/develop/cheyenne/intel/18.0.5/g/mpt/2.19),2022-06-07 06:52:30 -0600
