branch,host,compiler,mpi,netcdf,o_g,os,build,u_pass,u_fail,s_pass,s_fail,e_pass,e_fail,nuopc_pass,nuopc_fail,artifacts_hash,modified
develop,acorn,gfortran 10.3.0,mpi 8.1.7,4.7.4 4.5.3,O,Unicos,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/bb68b4ed4c5a58975f5cd3d01dbe583de61222ed/develop/acorn/gfortran/10.3.0/O/mpi/8.1.7),2022-07-05 12:47:30 +0000
develop,acorn,gfortran 10.3.0,mpi 8.1.7,4.7.4 4.5.3,g,Unicos,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/65e079610c2281cb42333d1942a0d6834963e3bf/develop/acorn/gfortran/10.3.0/g/mpi/8.1.7),2022-07-05 12:47:25 +0000
develop,acorn,intel 19.1.3,mpi 8.1.7,unknown unknown,O,Unicos,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/3cf34792310a7e9555e72424db59394a58bbf0e7/develop/acorn/intel/19.1.3/O/mpi/8.1.7),2022-07-05 12:52:32 +0000
develop,acorn,intel 19.1.3,mpi 8.1.7,4.7.4 4.5.3,g,Unicos,fail,fail,fail,fail,fail,fail,fail,0,50,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/63a4d42ac1a0e3f514943bc4371569ad3407e72b/develop/acorn/intel/19.1.3/g/mpi/8.1.7),2022-07-05 12:46:27 +0000
develop,cheyenne,gfortran 10.1.0,mpt 2.23,4.7.4 4.5.3,O,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/414d763389bbd635093b81a0f6d92d25055bc4c6/develop/cheyenne/gfortran/10.1.0/O/mpt/2.23),2022-07-05 03:08:37 -0600
develop,cheyenne,gfortran 10.1.0,mpt 2.23,4.7.4 4.5.3,g,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/05f8ba9ac6dd51b45f6a8f4f24a49eeab3eaa6af/develop/cheyenne/gfortran/10.1.0/g/mpt/2.23),2022-07-05 03:19:03 -0600
develop,cheyenne,gfortran 10.1.0,openmpi 4.0.5,4.7.4 4.5.3,O,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/8ae5014bec5980e6750ab66b29542d5774c65f66/develop/cheyenne/gfortran/10.1.0/O/openmpi/4.0.5),2022-07-05 03:14:50 -0600
develop,cheyenne,gfortran 10.1.0,openmpi 4.0.5,4.7.4 4.5.3,g,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/7827157bce63576bce1d381ba2b372a838223da1/develop/cheyenne/gfortran/10.1.0/g/openmpi/4.0.5),2022-07-05 03:25:12 -0600
develop,cheyenne,gfortran 7.4.0,openmpi 4.0.3,4.7.3 4.5.2,O,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/414d763389bbd635093b81a0f6d92d25055bc4c6/develop/cheyenne/gfortran/7.4.0/O/openmpi/4.0.3),2022-07-05 03:08:37 -0600
develop,cheyenne,gfortran 7.4.0,openmpi 4.0.3,4.7.3 4.5.2,g,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/7827157bce63576bce1d381ba2b372a838223da1/develop/cheyenne/gfortran/7.4.0/g/openmpi/4.0.3),2022-07-05 03:25:12 -0600
develop,cheyenne,gfortran 9.1.0,mpt 2.22,4.7.3 4.5.2,O,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/38ea9c74b24b69cc635432c0959f9c05835a5362/develop/cheyenne/gfortran/9.1.0/O/mpt/2.22),2022-07-05 03:09:47 -0600
develop,cheyenne,gfortran 9.1.0,mpt 2.22,4.7.3 4.5.2,g,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/3dd1666f0dd64ee3b3ee332e39f2147076a584d0/develop/cheyenne/gfortran/9.1.0/g/mpt/2.22),2022-07-05 03:19:46 -0600
develop,cheyenne,gfortran 9.1.0,openmpi 4.0.5,4.7.3 4.5.2,O,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/8ae5014bec5980e6750ab66b29542d5774c65f66/develop/cheyenne/gfortran/9.1.0/O/openmpi/4.0.5),2022-07-05 03:14:50 -0600
develop,cheyenne,gfortran 9.1.0,openmpi 4.0.5,4.7.3 4.5.2,g,Linux,pass,13665,0,49,0,80,0,50,0,[artifacts](https://github.com/esmf-org/esmf-test-artifacts/tree/7827157bce63576bce1d381ba2b372a838223da1/develop/cheyenne/gfortran/9.1.0/g/openmpi/4.0.5),2022-07-05 03:25:12 -0600
